departamento,anio,dia_semana,siniestros
AYACUCHO,2022,VIERNES,69
AYACUCHO,2022,SÁBADO,72
AYACUCHO,2022,DOMINGO,40
AYACUCHO,2023,LUNES,47
AYACUCHO,2023,MARTES,59
AYACUCHO,2023,MIÉRCOLES,62
AYACUCHO,2023,JUEVES,78
AYACUCHO,2023,VIERNES,75
AYACUCHO,2023,SÁBADO,58
AYACUCHO,2023,DOMINGO,36
AYACUCHO,2024,LUNES,47
AYACUCHO,2024,MARTES,35
AYACUCHO,2024,MIÉRCOLES,61
AYACUCHO,2024,JUEVES,54
AYACUCHO,2024,VIERNES,144
AYACUCHO,2024,SÁBADO,123
AYACUCHO,2024,DOMINGO,85
CAJAMARCA,2008,LUNES,503
CAJAMARCA,2008,MARTES,365
CAJAMARCA,2008,MIÉRCOLES,366
CAJAMARCA,2008,JUEVES,360
CAJAMARCA,2008,VIERNES,530
CAJAMARCA,2008,SÁBADO,521
CAJAMARCA,2008,DOMINGO,425
CAJAMARCA,2009,LUNES,427
CAJAMARCA,2009,MARTES,381
CAJAMARCA,2009,MIÉRCOLES,330
CAJAMARCA,2009,JUEVES,413
CAJAMARCA,2009,VIERNES,759
CAJAMARCA,2009,SÁBADO,728
CAJAMARCA,2009,DOMINGO,552
CAJAMARCA,2010,LUNES,437
CAJAMARCA,2010,MARTES,359
CAJAMARCA,2010,MIÉRCOLES,436
CAJAMARCA,2010,JUEVES,406
CAJAMARCA,2010,VIERNES,466
CAJAMARCA,2010,SÁBADO,655
CAJAMARCA,2010,DOMINGO,422
CAJAMARCA,2011,LUNES,427
CAJAMARCA,2011,MARTES,365
CAJAMARCA,2011,MIÉRCOLES,436
CAJAMARCA,2011,JUEVES,376
CAJAMARCA,2011,VIERNES,454
CAJAMARCA,2011,SÁBADO,522
CAJAMARCA,2011,DOMINGO,365
CAJAMARCA,2012,LUNES,433
CAJAMARCA,2012,MARTES,385
CAJAMARCA,2012,MIÉRCOLES,390
CAJAMARCA,2012,JUEVES,423
CAJAMARCA,2012,VIERNES,519
CAJAMARCA,2012,SÁBADO,608
CAJAMARCA,2012,DOMINGO,428
CAJAMARCA,2013,LUNES,305
CAJAMARCA,2013,MARTES,300
CAJAMARCA,2013,MIÉRCOLES,330
CAJAMARCA,2013,JUEVES,420
CAJAMARCA,2013,VIERNES,569
CAJAMARCA,2013,SÁBADO,673
CAJAMARCA,2013,DOMINGO,559
CAJAMARCA,2014,LUNES,197
CAJAMARCA,2014,MARTES,184
CAJAMARCA,2014,MIÉRCOLES,231
CAJAMARCA,2014,JUEVES,285
CAJAMARCA,2014,VIERNES,392
CAJAMARCA,2014,SÁBADO,462
CAJAMARCA,2014,DOMINGO,368
CAJAMARCA,2015,LUNES,187
CAJAMARCA,2015,MARTES,159
CAJAMARCA,2015,MIÉRCOLES,152
CAJAMARCA,2015,JUEVES,141
CAJAMARCA,2015,VIERNES,208
CAJAMARCA,2015,SÁBADO,216
CAJAMARCA,2015,DOMINGO,213
CAJAMARCA,2016,LUNES,186
CAJAMARCA,2016,MARTES,160
CAJAMARCA,2016,MIÉRCOLES,161
CAJAMARCA,2016,JUEVES,145
CAJAMARCA,2016,VIERNES,243
CAJAMARCA,2016,SÁBADO,235
CAJAMARCA,2016,DOMINGO,182
CAJAMARCA,2017,LUNES,292
CAJAMARCA,2017,MARTES,224
CAJAMARCA,2017,MIÉRCOLES,217
CAJAMARCA,2017,JUEVES,246
CAJAMARCA,2017,VIERNES,250
CAJAMARCA,2017,SÁBADO,295
CAJAMARCA,2017,DOMINGO,253
CAJAMARCA,2018,LUNES,278
CAJAMARCA,2018,MARTES,257
CAJAMARCA,2018,MIÉRCOLES,262
CAJAMARCA,2018,JUEVES,325
CAJAMARCA,2018,VIERNES,300
CAJAMARCA,2018,SÁBADO,320
CAJAMARCA,2018,DOMINGO,335
CAJAMARCA,2019,LUNES,297
CAJAMARCA,2019,MARTES,225
CAJAMARCA,2019,MIÉRCOLES,227
CAJAMARCA,2019,JUEVES,239
CAJAMARCA,2019,VIERNES,428
