departamento,anio,tipo_siniestro,siniestros
AMAZONAS,2017,COLISIÓN,0
AMAZONAS,2017,OTRO,15
AMAZONAS,2018,ATROPELLO,42
AMAZONAS,2018,ATROPELLO Y FUGA,2
AMAZONAS,2018,CHOQUE,144
AMAZONAS,2018,CHOQUE Y FUGA,5
AMAZONAS,2018,VOLCADURA,3
AMAZONAS,2018,CAIDA DE PASAJERO,1
AMAZONAS,2018,INCENDIO,0
AMAZONAS,2018,DESPISTE,94
AMAZONAS,2018,CHOQUE Y ATROPELLO,1
AMAZONAS,2018,DESPISTE Y VOLCADURA,23
AMAZONAS,2018,COLISIÓN Y FUGA,1
AMAZONAS,2018,COLISIÓN,1
AMAZONAS,2018,OTRO,45
AMAZONAS,2019,ATROPELLO,73
AMAZONAS,2019,ATROPELLO Y FUGA,10
AMAZONAS,2019,CHOQUE,223
AMAZONAS,2019,CHOQUE Y FUGA,24
AMAZONAS,2019,VOLCADURA,12
AMAZONAS,2019,CAIDA DE PASAJERO,6
AMAZONAS,2019,INCENDIO,0
AMAZONAS,2019,DESPISTE,112
AMAZONAS,2019,CHOQUE Y ATROPELLO,2
AMAZONAS,2019,DESPISTE Y VOLCADURA,21
AMAZONAS,2019,COLISIÓN Y FUGA,2
AMAZONAS,2019,COLISIÓN,2
AMAZONAS,2019,OTRO,14
AMAZONAS,2020,ATROPELLO,37
AMAZONAS,2020,ATROPELLO Y FUGA,5
AMAZONAS,2020,CHOQUE,148
AMAZONAS,2020,CHOQUE Y FUGA,26
AMAZONAS,2020,VOLCADURA,12
AMAZONAS,2020,CAIDA DE PASAJERO,7
AMAZONAS,2020,INCENDIO,0
AMAZONAS,2020,DESPISTE,100
AMAZONAS,2020,CHOQUE Y ATROPELLO,4
AMAZONAS,2020,DESPISTE Y VOLCADURA,25
AMAZONAS,2020,COLISIÓN Y FUGA,4
AMAZONAS,2020,COLISIÓN,1
AMAZONAS,2020,OTRO,18
AMAZONAS,2021,ATROPELLO,37
AMAZONAS,2021,ATROPELLO Y FUGA,12
AMAZONAS,2021,CHOQUE,231
AMAZONAS,2021,CHOQUE Y FUGA,30
AMAZONAS,2021,VOLCADURA,13
AMAZONAS,2021,CAIDA DE PASAJERO,7
AMAZONAS,2021,INCENDIO,0
AMAZONAS,2021,DESPISTE,112
AMAZONAS,2021,CHOQUE Y ATROPELLO,1
AMAZONAS,2021,DESPISTE Y VOLCADURA,12
AMAZONAS,2021,COLISIÓN Y FUGA,1
AMAZONAS,2021,COLISIÓN,1
AMAZONAS,2021,OTRO,16
AMAZONAS,2022,ATROPELLO,46
AMAZONAS,2022,ATROPELLO Y FUGA,11
AMAZONAS,2022,CHOQUE,260
AMAZONAS,2022,CHOQUE Y FUGA,18
AMAZONAS,2022,VOLCADURA,10
AMAZONAS,2022,CAIDA DE PASAJERO,3
AMAZONAS,2022,INCENDIO,2
AMAZONAS,2022,DESPISTE,127
AMAZONAS,2022,CHOQUE Y ATROPELLO,3
AMAZONAS,2022,DESPISTE Y VOLCADURA,13
AMAZONAS,2022,COLISIÓN Y FUGA,3
AMAZONAS,2022,COLISIÓN,1
AMAZONAS,2022,OTRO,17
AMAZONAS,2023,ATROPELLO,34
AMAZONAS,2023,ATROPELLO Y FUGA,17
AMAZONAS,2023,CHOQUE,251
AMAZONAS,2023,CHOQUE Y FUGA,27
AMAZONAS,2023,VOLCADURA,14
AMAZONAS,2023,CAIDA DE PASAJERO,3
AMAZONAS,2023,INCENDIO,0
AMAZONAS,2023,DESPISTE,157
AMAZONAS,2023,CHOQUE Y ATROPELLO,1
AMAZONAS,2023,DESPISTE Y VOLCADURA,6
AMAZONAS,2023,COLISIÓN Y FUGA,0
AMAZONAS,2023,COLISIÓN,0
AMAZONAS,2023,OTRO,4
AMAZONAS,2024,ATROPELLO,31
AMAZONAS,2024,ATROPELLO Y FUGA,11
AMAZONAS,2024,CHOQUE,249
AMAZONAS,2024,CHOQUE Y FUGA,19
AMAZONAS,2024,VOLCADURA,16
AMAZONAS,2024,CAIDA DE PASAJERO,11
AMAZONAS,2024,INCENDIO,1
AMAZONAS,2024,DESPISTE,142
AMAZONAS,2024,CHOQUE Y ATROPELLO,1
AMAZONAS,2024,DESPISTE Y VOLCADURA,17
AMAZONAS,2024,COLISIÓN Y FUGA,3
AMAZONAS,2024,COLISIÓN,4
AMAZONAS,2024,OTRO,8
ANCASH,2008,ATROPELLO,214
ANCASH,2008,ATROPELLO Y FUGA,248
ANCASH,2008,CHOQUE,755
ANCASH,2008,CHOQUE Y FUGA,113
ANCASH,2008,VOLCADURA,146
ANCASH,2008,CAIDA DE PASAJERO,76
ANCASH,2008,INCENDIO,4
ANCASH,2008,OTRO,60
ANCASH,2009,ATROPELLO,434
ANCASH,2009,ATROPELLO Y FUGA,124
ANCASH,2009,CHOQUE,1138
ANCASH,2009,CHOQUE Y FUGA,224
ANCASH,2009,VOLCADURA,148
ANCASH,2009,CAIDA DE PASAJERO,30
ANCASH,2009,INCENDIO,6
ANCASH,2009,OTRO,159
